Which 3 characters had the worst arc?
"Gamzee Makara, Cronus Ampora, ARquius"
"Jake English, Meenah Peixes, Eridan Ampora"
""
""
"Karkat Vantas, Feferi Peixes, Sollux Captor"
"Doc Scratch, Cronus Ampora, Kankri Vantas"
""
"Sollux Captor, Tavros Nitram, Rose Lalonde"
"Gamzee Makara, Eridan Ampora, Jane Crocker"
"Dirk Strider, Jake English, Feferi Peixes"
"Nepeta Leijon, Tavros Nitram, Equius Zahhak"
"Tavros Nitram, Meenah Peixes, Cronus Ampora"
"Feferi Peixes, Grandpa Harley, SS"
"Davesprite, Aranea Serket, Equius Zahhak"
"Gamzee Makara, Feferi Peixes, Tavros Nitram"
"Bro Strider, Lil Hal, Doc Scratch"
"Nepeta Leijon, Equius Zahhak, Feferi Peixes"
"Jane Crocker, Jade Harley, SS"
"Vriska Serket, Doc Scratch, Lord English"
"Equius Zahhak, Vriska Serket, Terezi Pyrope"
"Karkat Vantas, Vriska Serket, Dave Strider"
"Nepeta Leijon, Equius Zahhak, Tavros Nitram"
"Vriska Serket, Equius Zahhak, Bro Strider"
"Gamzee Makara, Equius Zahhak, Jake English"
"Equius Zahhak, Eridan Ampora, Other"
"Tavros Nitram, Jack Noir (A2), Jake English"
"Feferi Peixes, Caliborn, Equius Zahhak"
""
"Sollux Captor, Kurloz Makara, Davesprite"
"Eridan Ampora, Equius Zahhak, Jake English"
"Lil Hal, Davesprite, Caliborn"
"Damara Megido, Jane Crocker, Jade Harley"
"Nannasprite, Horuss Zahhak, Damara Megido"
"Jake English, Gamzee Makara, Jane Crocker"
"Mituna Captor, Kurloz Makara, Eridan Ampora"
"Eridan Ampora, Equius Zahhak, Nepeta Leijon"
"John Egbert, Dave Strider, Rose Lalonde"
"Nepeta Leijon, Jane Crocker, Lil Hal"
"Nepeta Leijon, Equius Zahhak, Eridan Ampora"
"Nepeta Leijon, Tavros Nitram, Feferi Peixes"
"Equius Zahhak, Nepeta Leijon, Davesprite"
"Gamzee Makara, Eridan Ampora, Feferi Peixes"
"Feferi Peixes, Nepeta Leijon, Jake English"
""
""
"Vriska Serket, Eridan Ampora, Jake English"
""
"Vriska Serket, Jade Harley, Terezi Pyrope"
""
"Meenah Peixes, The Condesce, Other"
"Tavros Nitram, Bro Strider, Dirk Strider"
"John Egbert, Vriska Serket, Gamzee Makara"
"Gamzee Makara, Caliborn, Eridan Ampora"
"Jane Crocker, Dirk Strider, Caliborn"
"Sollux Captor, Feferi Peixes, Jack Noir (B1)"
"Rose Lalonde, Jake English, Meenah Peixes"
""
"Bro Strider, Dad Egbert, Jack Noir (B1)"
""
"Gamzee Makara, Jake English, Calliope"
"Eridan Ampora, Cronus Ampora, Sollux Captor"
""
"Feferi Peixes, Jade Harley, Cronus Ampora"
"Jake English, Gamzee Makara, Meenah Peixes"
"Equius Zahhak, Bro Strider, Lil Hal"
"Gamzee Makara, Bro Strider, Equius Zahhak"
"Gamzee Makara, Dirk Strider, Davepeta"
"Feferi Peixes, Nepeta Leijon, SS"
"Eridan Ampora, Feferi Peixes, Gamzee Makara"
"Dave Strider, Karkat Vantas, Equius Zahhak"
"Equius Zahhak, Tavros Nitram, Eridan Ampora"
"Vriska Serket, Calliope, Kurloz Makara"
"Gamzee Makara, Meenah Peixes, Dirk Strider"
"Gamzee Makara, Jake English, Lil Hal"
"Feferi Peixes, Nepeta Leijon, Eridan Ampora"
"Jake English, Damara Megido, Gamzee Makara"
""
"Jade Harley, Aradia Megido, Sollux Captor"
"Vriska Serket, Sollux Captor, Equius Zahhak"
"Vriska Serket, Feferi Peixes, Jade Harley"
"Eridan Ampora, Feferi Peixes, Gamzee Makara"
"Gamzee Makara, Meenah Peixes, Aradia Megido"
"Meulin Leijon, Mituna Captor, Kankri Vantas"
"Terezi Pyrope, Gamzee Makara, Eridan Ampora"
"Nepeta Leijon, ARquius, Jasprose"
"Jade Harley, AR, DD"
""
"WV (sigh... ""The Mayor""), Davesprite, Cronus Ampora"
"Jade Harley, Gamzee Makara, Sollux Captor"
"Equius Zahhak, Nepeta Leijon, Eridan Ampora"
"John Egbert, Lord English, Jake English"
"Jane Crocker, Eridan Ampora, Feferi Peixes"
"Aranea Serket, Feferi Peixes, Doc Scratch"
"Nepeta Leijon, WV (sigh... ""The Mayor""), Equius Zahhak"
""
"Vriska Serket, Feferi Peixes, Gamzee Makara"
"Feferi Peixes, Equius Zahhak, Nepeta Leijon"
"Dave Strider, Jane Crocker, Vriska Serket"
"Feferi Peixes, Nepeta Leijon, Jade Harley"
""
"Equius Zahhak, Tavros Nitram, Jane Crocker"
""
"Gamzee Makara, Meenah Peixes, Jane Crocker"
"Feferi Peixes, Equius Zahhak, Nepeta Leijon"
"Dave Strider, Tavros Nitram, Davepeta"
"Jake English, Bro Strider, Jane Crocker"
"Vriska Serket, Jake English, Tavros Nitram"
"Vriska Serket, Doc Scratch, Jake English"
""
"Gamzee Makara, Feferi Peixes, Jack Noir (B1)"
"Jake English, Jane Crocker, Dirk Strider"
"Eridan Ampora, Gamzee Makara, Sollux Captor"
"Gamzee Makara, Jade Harley, Tavros Nitram"
"Feferi Peixes, Sollux Captor, Nepeta Leijon"
""
"Tavros Nitram, Bro Strider, Gamzee Makara"
"Rose Lalonde, ARquius, Grandpa Harley"
"Terezi Pyrope, Equius Zahhak, Eridan Ampora"
"Vriska Serket, Meulin Leijon, Kurloz Makara"
"Vriska Serket, Kankri Vantas, Jade Harley"
"Lord English, Gamzee Makara, Aranea Serket"
"Jade Harley, Jake English, Jane Crocker"
"Eridan Ampora, Equius Zahhak, Cronus Ampora"
"Not sure, Feferi Peixes, Gamzee Makara"
"Vriska Serket, Eridan Ampora, Gamzee Makara"
"Feferi Peixes, Eridan Ampora, Gamzee Makara"
"Eridan Ampora, Equius Zahhak, Cronus Ampora"
"Vriska Serket, Tavros Nitram, Eridan Ampora"
"Jake English, Jane Crocker, Rose Lalonde"
""
""
"Vriska Serket, Gamzee Makara, Meenah Peixes"
"Eridan Ampora, Equius Zahhak, Vriska Serket"
"Gamzee Makara, Jake English, Meenah Peixes"
"Vriska Serket, Jake English, Horuss Zahhak"
"Equius Zahhak, Rose Lalonde, Feferi Peixes"
"John Egbert, Davesprite, Jade Harley"
"Aranea Serket, Davepeta, Jasprose"
"Jane Crocker, Jake English, Tavros Nitram"
"Nepeta Leijon, Vriska Serket, Cronus Ampora"
"Jane Crocker, Feferi Peixes, Jake English"
"Aranea Serket, Eridan Ampora, Sollux Captor"
"Aradia Megido, Sollux Captor, Equius Zahhak"
"Jane Crocker, Dirk Strider, Jake English"
"Gamzee Makara, Equius Zahhak, Eridan Ampora"
"Gamzee Makara, Sollux Captor, Eridan Ampora"
"Jake English, Feferi Peixes, Nepeta Leijon"
"Jade Harley, Equius Zahhak, Sollux Captor"
"Cronus Ampora, Horuss Zahhak, Kurloz Makara"
"Sollux Captor, Tavros Nitram, Jane Crocker"
"Bro Strider, Equius Zahhak, Kankri Vantas"
"Gamzee Makara, Nepeta Leijon, Eridan Ampora"
"Vriska Serket, Latula Pyrope, Kurloz Makara"
"Eridan Ampora, Jasprose, Becquerel"
""
""
"Tavros Nitram, Feferi Peixes, The Handmaid"
"Mituna Captor, Kurloz Makara, Equius Zahhak"
"Tavros Nitram, Cronus Ampora, Latula Pyrope"
"Jane Crocker, Rufioh Nitram, Eridan Ampora"
"Karkat Vantas, Gamzee Makara, Feferi Peixes"
"Gamzee Makara, Eridan Ampora, Equius Zahhak"
"The Condesce, Nepeta Leijon, Jane Crocker"
"Gamzee Makara, Eridan Ampora, Feferi Peixes"
"WV (sigh... ""The Mayor""), Kankri Vantas, ARquius"
"Rose Lalonde, Dave Strider, Jake English"
"Vriska Serket, Jane Crocker, Davepeta"
"Tavros Nitram, Jake English, Jane Crocker"
"Feferi Peixes, Other, HB"
"Gamzee Makara, Jane Crocker, Vriska Serket"
"Eridan Ampora, Nepeta Leijon, Sollux Captor"
"Sollux Captor, Gamzee Makara, Equius Zahhak"
""
"Vriska Serket, Jasprose, Davepeta"
"John Egbert, Roxy Lalonde, Karkat Vantas"
"Tavros Nitram, Caliborn, The Condesce"
""
"Doc Scratch, Eridan Ampora, Lord English"
"Gamzee Makara, Bro Strider, Dirk Strider"
""
""
""
"John Egbert, Jane Crocker, Vriska Serket"
""
"Jake English, not even that bad, slightly undercooked maybe but i'm due for a reread so grain of salt., Jade Harley"
"Rose Lalonde, Equius Zahhak, Becquerel"
"Vriska Serket, Gamzee Makara, Caliborn"
"Vriska Serket, Jane Crocker, AR"
"Vriska Serket, Roxy Lalonde, Caliborn"
"Gamzee Makara, Dirk Strider, Aranea Serket"
"Terezi Pyrope, Gamzee Makara, Tavros Nitram"
"ARquius, Davepeta, Horuss Zahhak"
"Bro Strider, Jane Crocker, Caliborn"
"Feferi Peixes, Tavros Nitram, Eridan Ampora"
"Vriska Serket, Tavros Nitram, Lord English"
"Davesprite, ARquius, Sollux Captor"
""
""
"Gamzee Makara, Equius Zahhak, Nepeta Leijon"
"Jane Crocker, Nepeta Leijon, Jade Harley"
""
"Vriska Serket, Tavros Nitram, Sollux Captor"
"Lord English, Dirk Strider, Jane Crocker"
"Dave Strider, Karkat Vantas, Vriska Serket"
""
""
"Aranea Serket, Jade Harley, Meenah Peixes"
""
"Gamzee Makara, Feferi Peixes, Jane Crocker"
"Feferi Peixes, Bro Strider, Lil Hal"
"Jade Harley, Feferi Peixes, Jake English"
"Dave Strider, Eridan Ampora, Meenah Peixes"
