Which 3 characters had the best complete arc?
"Dave Strider, Roxy Lalonde, Terezi Pyrope"
"Jade Harley, Tavros Nitram, Dad Egbert"
""
"Dave Strider, Vriska Serket, Dirk Strider"
"John Egbert, Dave Strider, WV (sigh... ""The Mayor"")"
"Gamzee Makara, John Egbert, Vriska Serket"
"Davesprite, Terezi Pyrope, Dave Strider"
"John Egbert, Rose Lalonde, Bro Strider"
"Caliborn, PM, John Egbert"
""
"Vriska Serket, WV (sigh... ""The Mayor""), John Egbert"
"John Egbert, Jasprose, Sollux Captor"
"Roxy Lalonde, PM, Jack Noir (B1)"
"Aradia Megido, Roxy Lalonde, Dave Strider"
""
"Vriska Serket, John Egbert, Dave Strider"
"John Egbert, Dave Strider, Aradia Megido"
"Caliborn, Karkat Vantas, Dave Strider"
"John Egbert, Vriska Serket, Calliope"
"Terezi Pyrope, Roxy Lalonde, Karkat Vantas"
"Didn’t finish 💔, Dave Strider, Jade Harley"
""
"Dave Strider, Karkat Vantas, Kanaya Maryam"
"Kanaya Maryam, John Egbert, Dad Egbert"
"Dave Strider, Vriska Serket, Terezi Pyrope"
"John Egbert, Roxy Lalonde, Terezi Pyrope"
"Dirk Strider, John Egbert, Terezi Pyrope"
""
"Dave Strider, Vriska Serket, Roxy Lalonde"
"Aradia Megido, Davepeta, John Egbert"
"Dave Strider, Gamzee Makara, Dirk Strider"
"Dave Strider, Tavros Nitram, Jack Noir (B1)"
""
"Vriska Serket, Sollux Captor, Aradia Megido"
""
"Karkat Vantas, Vriska Serket, Dave Strider"
"Dave Strider, John Egbert, Vriska Serket"
""
"John Egbert, Karkat Vantas, Aradia Megido"
"Vriska Serket, Rose Lalonde, Roxy Lalonde"
"Aranea Serket, Dave Strider, Karkat Vantas"
"Dave Strider, Karkat Vantas, Kanaya Maryam"
"Gamzee Makara, John Egbert, Kanaya Maryam"
"Karkat Vantas, Dave Strider, Dirk Strider"
"Dave Strider, Vriska Serket, John Egbert"
"Dirk Strider, John Egbert, Aradia Megido"
"Aradia Megido, Caliborn, Karkat Vantas"
"Terezi Pyrope, Dirk Strider, Jade Harley"
"Vriska Serket, Aradia Megido, Sollux Captor"
"Dave Strider, Karkat Vantas, Terezi Pyrope"
"Dave Strider, WV (sigh... ""The Mayor""), John Egbert"
"Dave Strider, Karkat Vantas, WV (sigh... ""The Mayor"")"
"Jade Harley, Jane Crocker, Calliope"
"Terezi Pyrope, Kanaya Maryam, Roxy Lalonde"
"Aradia Megido, Roxy Lalonde, Terezi Pyrope"
""
"Aradia Megido, Roxy Lalonde, Rose Lalonde"
"Dave Strider, Karkat Vantas, John Egbert"
""
"Dave Strider, Roxy Lalonde, Karkat Vantas"
"Karkat Vantas, Vriska Serket, WV (sigh... ""The Mayor"")"
"Dave Strider, Karkat Vantas, Vriska Serket"
