Select your 3 favorite characters!
"Feferi Peixes, Jade Harley, Tavros Nitram"
"Nepeta Leijon, John Egbert, Karkat Vantas"
"Dave Strider, Gamzee Makara, Sollux Captor"
"Dirk Strider, Mituna Captor, Gamzee Makara"
"Karkat Vantas, Dave Strider, Vriska Serket"
"Gamzee Makara, Dirk Strider, Dave Strider"
"Dave Strider, Karkat Vantas, John Egbert"
"Feferi Peixes, Kanaya Maryam, Roxy Lalonde"
"Dave Strider, WV (sigh... ""The Mayor""), Mituna Captor"
"Vriska Serket, John Egbert, Roxy Lalonde"
"Vriska Serket, Dave Strider, Davepeta"
"Eridan Ampora, Mituna Captor, Jade Harley"
"Jade Harley, John Egbert, Aradia Megido"
"Rose Lalonde, Kanaya Maryam, Dirk Strider"
"Equius Zahhak, Dirk Strider, Bro Strider"
"Dirk Strider, Lil Hal, Sollux Captor"
"Gamzee Makara, John Egbert, Vriska Serket"
"Rose Lalonde, Terezi Pyrope, Vriska Serket"
"Terezi Pyrope, Vriska Serket, Aradia Megido"
""
"Terezi Pyrope, Eridan Ampora, Nepeta Leijon"
"Dave Strider, Karkat Vantas, Gamzee Makara"
"Dave Strider, Mituna Captor, Karkat Vantas"
"Gamzee Makara, Karkat Vantas, Dave Strider"
"Kanaya Maryam, Rose Lalonde, John Egbert"
"Davepeta, Doc Scratch, Nepeta Leijon"
"Aradia Megido, Jade Harley, Doc Scratch"
"John Egbert, Nepeta Leijon, Doc Scratch"
"Dave Strider, Rufioh Nitram, Horuss Zahhak"
"Mituna Captor, Roxy Lalonde, CD"
"Nepeta Leijon, Jade Harley, Davepeta"
"Vriska Serket, Kanaya Maryam, Rose Lalonde"
"Dave Strider, John Egbert, Dirk Strider"
"Eridan Ampora, Kankri Vantas, John Egbert"
"Jade Harley, Calliope, Terezi Pyrope"
"Jade Harley, Rose Lalonde, Nepeta Leijon"
"Dave Strider, John Egbert, Karkat Vantas"
"Doc Scratch, Vriska Serket, Dave Strider"
"Terezi Pyrope, Gamzee Makara, Vriska Serket"
"Dave Strider, Terezi Pyrope, Karkat Vantas"
"Kurloz Makara, Cronus Ampora, Dirk Strider"
"Jade Harley, Terezi Pyrope, Roxy Lalonde"
"Karkat Vantas, Jack Noir (B1), Caliborn"
