Select your 3 least favorite characters!
"Doc Scratch, Bro Strider, Jane Crocker"
"Tavros Nitram, Caliborn, Equius Zahhak"
"Gamzee Makara, Caliborn, Rufioh Nitram"
"Doc Scratch, The Condesce, Cronus Ampora"
"Eridan Ampora, Cronus Ampora, Rufioh Nitram"
"Jade Harley, Roxy Lalonde, Aranea Serket"
"Rufioh Nitram, Aranea Serket, Vriska Serket"
""
"Equius Zahhak, Eridan Ampora, Caliborn"
"Gamzee Makara, Feferi Peixes, Jake English"
"Cronus Ampora, Jane Crocker, Damara Megido"
"Dave Strider, Dirk Strider, Lil Hal"
"Eridan Ampora, Kankri Vantas, Horuss Zahhak"
"Horuss Zahhak, Lil Hal, Latula Pyrope"
"Lord English, Doc Scratch, Cronus Ampora"
"Latula Pyrope, Meulin Leijon, Horuss Zahhak"
""
"Jane Crocker, Feferi Peixes, Eridan Ampora"
"Gamzee Makara, Doc Scratch, Cronus Ampora"
"Bro Strider, Horuss Zahhak, The Condesce"
"Gamzee Makara, Davepeta, Calliope"
"Lord English, Caliborn, The Handmaid"
"Dirk Strider, Rufioh Nitram, Aradia Megido"
"ARquius, Damara Megido, Rufioh Nitram"
"Eridan Ampora, Equius Zahhak, Tavros Nitram"
"Doc Scratch, Cronus Ampora, Caliborn"
"Vriska Serket, Eridan Ampora, Jane Crocker"
"Jack Noir (B1), Grandpa Harley, Equius Zahhak"
"Vriska Serket, Aranea Serket, Meenah Peixes"
"Gamzee Makara, Equius Zahhak, Bro Strider"
"Doc Scratch, Lil Hal, Eridan Ampora"
"Mituna Captor, Cronus Ampora, Damara Megido"
"Rufioh Nitram, Horuss Zahhak, Gamzee Makara"
"Caliborn, Kankri Vantas, Eridan Ampora"
"Gamzee Makara, Equius Zahhak, Bro Strider"
"Vriska Serket, Cronus Ampora, Meenah Peixes"
"Eridan Ampora, Kankri Vantas, Damara Megido"
"Eridan Ampora, Meenah Peixes, Aranea Serket"
"Vriska Serket, Lil Hal, Caliborn"
"Dirk Strider, Gamzee Makara, June Egbert"
"Cronus Ampora, Horuss Zahhak, ARquius"
"Caliborn, Meenah Peixes, Cronus Ampora"
"Mituna Captor, Dirk Strider, Karkat Vantas"
"Caliborn, Lord English, Doc Scratch"
""
""
"Cronus Ampora, Grandpa Harley, Bro Strider"
"Equius Zahhak, Horuss Zahhak, Cronus Ampora"
